ligand,receptor,ligand_uniprot,receptor_uniprot,y,set
APOB,LINGO4,P04114,Q6UY18,0,train
CXCL8,GJA10,P10145,Q969M2,0,train
CXCL9,KCNS1,Q07325,Q96KK3,0,train
VIM,ADGRD2,P08670,Q7Z7M1,0,train
INSL5,ROBO4,Q9Y5Q6,Q8WZ75,0,train
EFNB1,STRN3,P98172,Q13033,0,train
LPA,LRP2,P08519,P98164,1,train
APOC2,LDLR,P02655,P01130,1,train
IHH,TRIM72,Q14623,Q6ZMU5,0,train
APOC1,VLDLR,P02654,P98155,1,train
CALM2,SCYL3,P0DP24,Q8IZE3,0,train
VIP,NTSR2,P01282,O95665,0,train
GDNF,RET,P39905,P07949,1,train
PYY,NPY4R,P10082,P50391,1,train
NTS,ARL13B,P30990,Q3SXY8,0,train
GDNF,GFRA1,P39905,P56159,1,train
CALM1,GRM7,P0DP23,Q14831,1,train
FGF1,ATRNL1,P05230,Q5VV63,0,train
APOA2,LRP1,P02652,Q07954,1,train
SEMA3A,PLXNA1,Q14563,Q9UIW2,1,train
AFDN,EPHB3,P55196,P54753,1,train
TLN1,ITGB3,Q9Y490,P05106,1,train
SELPLG,ITGB2,Q14242,P05107,1,train
LHB,CCSAP,P01229,Q6IQ19,0,train
B2M,PRKAR1A,P61769,P10644,0,train
CXCL13,CXCR3,O43927,P49682,1,train
HAS2,CD44,Q92819,P16070,1,train
INHBB,SLC7A7,P09529,Q9UM01,0,train
FGF20,FGFR4,Q9NP95,P22455,1,train
GAS6,ADRA1D,Q14393,P25100,0,train
LPL,CFAP70,P06858,Q5T0N1,0,train
C4B,PCDHB1,P0C0L5,Q9Y5F3,0,train
CDH1,PIP5K1C,P12830,O60331,0,train
IAPP,GPR20,P10997,Q99678,1,train
IAPP,ADCYAP1R1,P10997,P41586,1,train
VCAN,TLR1,P13611,Q15399,1,train
PCSK9,LDLR,Q8NBP7,P01130,1,train
IFNA7,IFNAR2,P01567,P48551,1,train
CALM3,GCGR,P0DP25,P47871,0,train
DKK1,KREMEN2,O94907,Q8NCW0,1,train
APP,NECTIN1,P05067,Q15223,0,train
IL1F10,ADGRG1,Q8WWZ1,Q9Y653,0,train
SEMA3G,TMEM132E,Q9NS98,Q6IEE7,0,train
IFNG,IFNGR1,P01579,P15260,1,train
ULBP3,KLRK1,Q9BZM4,P26718,1,train
CALCB,TFR2,P10092,Q9UP52,0,train
CD55,CD244,P08174,Q9BZW8,0,train
LAMB1,POTED,P07942,Q86YR6,0,train
TSHB,OR52K1,P01222,Q8NGK4,0,train
INHBE,ACVR2B,P58166,Q13705,1,train
GRN,SLC39A3,P28799,Q9BRY0,0,train
CCL5,MRI1,P13501,Q9BV20,0,train
CCN2,LIMS2,P29279,Q7Z4I7,0,train
IL16,KCNJ15,Q14005,Q99712,1,train
VTN,LIN7B,P04004,Q9HAP6,0,train
DEFB103B,PARVG,P81534,Q9HBI0,0,train
SCT,GPR32P1,P09683,Q8NGA4,0,train
LRPAP1,PLXNB2,P30533,O15031,0,train
GNAI2,CPTP,P04899,Q5TA50,0,train
AFDN,CCDC107,P55196,Q8WV48,0,train
MMP9,RTL1,P14780,A6NKG5,0,train
CCL8,ACKR4,P80075,Q9NPB9,1,train
IGF1,IGF1R,P05019,P08069,1,train
LTBP3,ITGB5,Q9NS15,P18084,1,train
POMC,MTNR1A,P01189,P48039,1,train
APOB,OLR1,P04114,P78380,1,train
FGF5,FAM163B,P12034,P0C2L3,0,train
CGA,RAMP2,P01215,O60895,1,train
ADAM17,NALCN,P78536,Q8IZF0,0,train
FGF5,CCKBR,P12034,P32239,0,train
IL4,IL13RA2,P05112,Q14627,1,train
FGF10,MAPK3,O15520,P27361,0,train
CALM2,OR4K13,P0DP24,Q8NH42,0,train
GNAI2,LHCGR,P04899,P22888,1,train
COL3A1,MAG,P02461,P20916,1,train
MMP9,TLR9,P14780,Q9NR96,1,train
ALB,LRP2,P02768,P98164,1,train
ADCYAP1,RAMP3,P18509,O60896,1,train
NPPC,NPR3,P23582,P17342,1,train
IFNA21,DCST1,P01568,Q5T197,0,train
IGFBP4,FZD8,P22692,Q9H461,1,train
IFNB1,IFNAR2,P01574,P48551,1,train
INSL3,ROBO3,P51460,Q96MS0,0,train
HLA-E,ATP6AP2,P13747,O75787,0,train
THBS2,NOTCH4,P35442,Q99466,1,train
CCL21,FGD1,O00585,P98174,0,train
EFNA5,EPHA8,P52803,P29322,1,train
FGF8,TNFRSF14,P55075,Q92956,0,train
LIPH,RAB9A,Q8WWY8,P51151,0,train
COL4A6,MARVELD2,Q14031,Q8N4S9,0,train
ORM1,OR1L1,P02763,Q8NH94,0,train
APP,PLSCR4,P05067,Q9NRQ2,0,train
ADM,PTGDR2,P35318,Q9Y5Y4,0,train
PLAU,MYH7B,P00749,A7E2Y1,0,train
WNT2,LRP6,P09544,O75581,1,train
IAPP,OR5L2,P10997,Q8NGL0,0,train
ADCYAP1,SPPL2B,P18509,Q8TCT7,0,train
TAC1,TACR1,P20366,P25103,1,train
FGF13,SCN8A,Q92913,Q9UQD0,1,train
BTC,TMPRSS15,P35070,P98073,0,train
AVP,PRSS42P,P01185,Q7Z5A4,0,train
NGF,KIDINS220,P01138,Q9ULH0,1,train
CALCB,ARL4A,P10092,P40617,0,train
LAMA3,RDH8,Q16787,Q9NYR8,0,train
CALM1,HTR2C,P0DP23,P28335,1,train
FGA,ITGAM,P02671,P11215,1,train
TPH1,HTR4,P17752,Q13639,1,train
LAMA1,GPC1,P25391,P35052,1,train
ULBP3,MKLN1,Q9BZM4,Q9UL63,0,train
IFNB1,DOCK7,P01574,Q96N67,0,train
BMP6,BMPR1A,P22004,P36894,1,train
IAPP,CABP2,P10997,Q9NPB3,0,train
CCL4,ACKR2,P13236,O00590,1,train
EFNA4,RALA,P52798,P11233,0,train
CSF2,ITM2A,P04141,O43736,0,train
SCT,ADRB3,P09683,P13945,1,train
CXCL2,FAM151A,P19875,Q8WW52,0,train
TNFSF13,SDF4,O75888,Q9BRK5,0,train
ADAM9,CATSPER2,Q13443,Q96P56,0,train
NCAM1,CPNE6,P13591,O95741,0,train
CCL25,CCR9,O15444,P51686,1,train
LHB,GPR20,P01229,Q99678,1,train
IL18,IL18R1,Q14116,Q13478,1,train
NPY,CD244,P01303,Q9BZW8,0,train
CD24,LYPLA1,P25063,O75608,0,train
EFNB3,TMCO6,Q15768,Q96DC7,0,train
BMP8A,BMPR1A,Q7Z5Y6,P36894,1,train
COL7A1,ITGA2,Q02388,P17301,1,train
BMP2,NIPA2,P12643,Q8N8Q9,0,train
DLL3,MS4A4A,Q9NYJ7,Q96JQ5,0,train
CLCF1,IL6ST,Q9UBD9,P40189,1,train
GDF2,PTPRS,Q9UK05,Q13332,0,train
FAM3C,SDC1,Q92520,P18827,0,train
GCG,TMEM185A,P01275,Q8NFB2,0,train
FGF14,FGFR2,Q92915,P21802,1,train
IAPP,ATP6AP1L,P10997,Q52LC2,0,train
OSM,GGT7,P13725,Q9UJ14,0,train
CALM1,SCN4A,P0DP23,P35499,1,train
AFDN,MSR1,P55196,P21757,0,train
RGMB,UPK1A,Q6NW40,O00322,0,train
RLN3,RXFP3,Q8WXF3,Q9NSD7,1,train
PODXL,TPGS1,O00592,Q6ZTW0,0,train
CALM1,ZDHHC11B,P0DP23,P0C7U3,0,train
NCAM1,FGFR2,P13591,P21802,1,train
RLN3,MTNR1A,Q8WXF3,P48039,1,train
PMCH,C14orf132,P20382,Q9NPU4,0,train
TGFB2,TGFBR1,P61812,P36897,1,train
C1QB,VNN1,P02746,O95497,0,train
CCL13,GRM7,Q99616,Q14831,0,train
SLIT2,ROBO2,O94813,Q9HCK4,1,train
HSPG2,ITGA2,P98160,P17301,1,train
TGFB3,HTR1E,P10600,P28566,0,train
ADIPOQ,LYPLA1,Q15848,O75608,0,train
DCN,MET,P07585,P08581,1,train
HSP90AA1,SGK1,P07900,O00141,0,train
TNFSF13B,SLC17A3,Q9Y275,O00476,0,train
FGA,ITGA5,P02671,P08648,1,train
SAA1,GRM7,P0DJI8,Q14831,1,train
MMP1,STEAP2,P03956,Q8NFT2,0,train
ADM,ADRB3,P35318,P13945,1,train
NTN3,SPATA9,O00634,Q9BWV2,0,train
HPX,LRP1,P02790,Q07954,1,train
GNAI2,CXCR3,P04899,P49682,1,train
ADAM17,RHBDF2,P78536,Q6PJF5,1,train
PLAU,OR5M8,P00749,Q8NGP6,0,train
CNTN2,CNTNAP2,Q02246,Q9UHC6,1,train
S100A8,AGER,P05109,Q15109,1,train
PDGFC,JTB,Q9NRA1,O76095,0,train
CALCA,ADRB3,P01258,P13945,1,train
IL16,KCND2,Q14005,Q9NZV8,1,train
CALM1,SCN10A,P0DP23,Q9Y5Y9,1,train
CD40LG,CD40,P29965,P25942,1,train
FGF1,FGFR1,P05230,P11362,1,train
WNT3A,IQSEC1,P56704,Q6DN90,0,train
PTPN6,FCRL4,P29350,Q96PJ5,1,train
BMP2,GPER1,P12643,Q99527,0,train
EBI3,IL6ST,Q14213,P40189,1,train
HLA-B,LILRB1,P01889,Q8NHL6,1,train
CXCL5,GRM7,P42830,Q14831,1,train
COL1A1,FLT4,P02452,P35916,1,train
TNF,RIPK1,P01375,Q13546,1,train
FN1,DPP4,P02751,P27487,1,train
AVP,SCARF1,P01185,Q14162,0,train
INSL5,MTNR1A,Q9Y5Q6,P48039,1,train
CALCA,OR2L8,P01258,Q8NGY9,0,train
HP,P2RY10,P00738,O00398,0,train
BMP6,OR5AU1,P22004,Q8NGC0,0,train
EFNA1,EPHA7,P20827,Q15375,1,train
UCN3,IL10RB,Q969E3,Q08334,1,train
INHBE,TMC4,P58166,Q7Z404,0,train
SST,GRM7,P61278,Q14831,1,train
CD14,BIN2,P08571,Q9UBW5,0,train
APLN,APLNR,Q9ULZ1,P35414,1,train
INHBE,SLC30A8,P58166,Q8IWU4,0,train
CNTN2,NRP1,Q02246,O14786,1,train
TIMP3,SLC27A1,P35625,Q6PCB7,0,train
COL4A6,ITGB1,Q14031,P05556,1,train
LAMB1,TAS2R19,P07942,P59542,0,train
VIP,TMDD1,P01282,P0DPE3,0,train
TPH1,CARMIL1,P17752,Q5VZK9,0,train
GUCA2B,OR5H1,Q16661,A6NKK0,0,train
GRP,PCDH17,P07492,O14917,0,train
CD14,TLR1,P08571,Q15399,1,train
LAMA5,BCAM,O15230,P50895,1,train
CCL15,NCAM2,Q16663,O15394,0,train
TIMP1,EFCAB7,P01033,A8K855,0,train
HSPG2,SDC1,P98160,P18827,1,train
GHRL,CCKBR,Q9UBU3,P32239,0,train
ADAM17,IL10RA,P78536,Q13651,0,train
SEMA3G,NRP2,Q9NS98,O60462,1,train
S100A1,OR10A7,P23297,Q8NGE5,0,train
COMP,PKD2,P49747,Q13563,0,train
HLA-C,LILRB2,P10321,Q8N423,1,train
TNC,CSMD2,P24821,Q7Z408,0,train
PLA2G10,CD83,O15496,Q01151,0,train
COL4A4,ITGA1,P53420,P56199,1,train
FST,FAM149B1,P19883,Q96BN6,0,train
ADM,HTR6,P35318,P50406,0,train
GDF15,GFRAL,Q99988,Q6UXV0,1,train
FABP5,RXRA,Q01469,P19793,1,train
COL4A5,CD93,P29400,Q9NPY3,1,train
WIF1,FAM163B,Q9Y5W5,P0C2L3,0,train
GDF6,RIPK1,Q6KF10,Q13546,0,train
HMGB1,FAM172BP,P09429,A6NC97,0,train
CALM3,RYR2,P0DP25,Q92736,1,train
LAMB3,ITGB1,Q13751,P05556,1,train
FGF23,KL,Q9GZV9,Q9UEF7,1,train
VEGFA,CLEC2L,P15692,P0C7M8,0,train
APOE,LRP1,P02649,Q07954,1,train
COL1A2,XG,P08123,P55808,0,train
TGFB1,TGFBR1,P01137,P36897,1,train
DCN,DNAJB4,P07585,Q9UDY4,0,train
MICB,CLSTN2,Q29980,Q9H4D0,0,train
POMC,GPR20,P01189,Q99678,1,train
DLK1,NOTCH2,P80370,Q04721,1,train
PCSK9,OR6C74,Q8NBP7,A6NCV1,0,train
CALM2,DTNA,P0DP24,Q9Y4J8,0,train
CD14,TMPRSS12,P08571,Q86WS5,0,train
ADM2,TDGF1P3,Q7Z4H4,P51864,0,train
MUC7,SELL,Q8TAX7,P14151,1,train
FADD,PABPC1,Q13158,P11940,0,train
LRPAP1,C3orf20,P30533,Q8ND61,0,train
KNG1,SLC4A1,P01042,P02730,0,train
IL12A,IL6R,P29459,P08887,0,train
CCL25,GRM7,O15444,Q14831,1,train
GNAI2,HTR3E,P04899,A5X5Y0,0,train
APOA4,PLEKHM3,P06727,Q6ZWE6,0,train
COL4A1,SLC4A2,P02462,P04920,0,train
APOA1,LRP2,P02647,P98164,1,train
NID2,COL13A1,Q14112,Q5TAT6,1,train
HSPG2,GOPC,P98160,Q9HD26,0,train
TNF,TNFRSF1A,P01375,P19438,1,train
DKK3,SLC4A2,Q9UBP4,P04920,0,train
CEACAM16,LRRC26,Q2WEN9,Q2I0M4,0,train
SELPLG,FAM187B,Q14242,Q17R55,0,train
KNG1,ADGRG1,P01042,Q9Y653,0,train
IFNE,JPH3,Q86WN2,Q8WXH2,0,train
EFNB2,ASIC2,P52799,Q16515,0,train
LPA,LPAR2,P08519,Q9HBW0,1,train
HLA-A,CD3D,P04439,P04234,1,train
APP,GPIHBP1,P05067,Q8IV16,0,train
LIPH,LPAR4,Q8WWY8,Q99677,1,train
ADCYAP1,DPP4,P18509,P27487,1,train
NCAM1,SLCO2B1,P13591,O94956,0,train
CALM1,MYLK2,P0DP23,Q9H1R3,1,train
BMP2,ACVR1,P12643,Q04771,1,train
AVP,ADRB2,P01185,P07550,1,train
TSLP,IL7R,Q969D9,P16871,1,train
CGA,DMPK,P01215,Q09013,0,train
RNASE2,TLR2,P10153,O60603,1,train
CCN2,NTRK1,P29279,P04629,1,train
COL1A2,TAS2R50,P08123,P59544,0,train
WNT2,TRAV22,P09544,A0A0B4J277,0,train
APP,SORL1,P05067,Q92673,1,train
FGF12,TMEM184C,P61328,Q9NVA4,0,train
CCL16,CCR5,O15467,P51681,1,train
F2,F2RL1,P00734,P55085,1,train
HBEGF,ZNRF2,Q99075,Q8NHG8,0,train
RLN2,SDC2,P04090,P34741,0,train
C5,GRM7,P01031,Q14831,1,train
AGRP,INPP4A,O00253,Q96PE3,0,train
EFNA5,RAB27B,P52803,O00194,0,train
SLIT2,DCC,O94813,P43146,1,train
PTN,CDH12,P21246,P55289,0,train
FGF14,FGFR3,Q92915,P22607,1,train
KNG1,DCST1,P01042,Q5T197,0,train
FGG,FAXDC2,P02679,Q96IV6,0,train
PPY,OR10G8,P01298,Q8NGN5,0,train
POMC,ADRB3,P01189,P13945,1,train
FGA,CAMK1G,P02671,Q96NX5,0,train
CALM1,TMEM128,P0DP23,Q5BJH2,0,train
INHA,TGFBR3,P05111,Q03167,1,train
IL6,IL6ST,P05231,P40189,1,train
NTS,NGFR,P30990,P08138,1,train
COL4A3,ITGB1,Q01955,P05556,1,train
OXT,NPY1R,P01178,P25929,0,train
INHBC,ACVR1,P55103,Q04771,1,train
PMCH,MCHR1,P20382,Q99705,1,train
SLIT1,LIM2,O75093,P55344,0,train
WNT3A,CLEC1A,P56704,Q8NC01,0,train
B2M,KIR3DL1,P61769,P43629,1,train
VEGFD,OR5H14,O43915,A6NHG9,0,train
IL20,IL20RA,Q9NYY1,Q9UHF4,1,train
PYY,GRM7,P10082,Q14831,1,train
COMP,GRIA1,P49747,P42261,0,train
PTH2,KCNJ2,Q96A98,P63252,0,train
IL12A,IL12RB1,P29459,P42701,1,train
BMP2,SLC9A3R2,P12643,Q15599,0,train
APOE,SORL1,P02649,Q92673,1,train
IL16,GRIN2A,Q14005,Q12879,1,train
CALM1,INSR,P0DP23,P06213,1,train
ICAM5,TMEM82,Q9UMF0,A0PJX8,0,train
ADM,RAMP3,P35318,O60896,1,train
TSHB,SHISAL1,P01222,Q3SXP7,0,train
TNFSF13B,TNFRSF13C,Q9Y275,Q96RJ3,1,train
AGRP,SDC3,O00253,O75056,1,train
IL22,IL22RA2,Q9GZX6,Q969J5,1,train
YARS1,CXCR1,P54577,P25024,1,train
NID1,ASTN2,P14543,O75129,0,train
LAMB1,BTK,P07942,Q06187,0,train
FGF2,FGFR3,P09038,P22607,1,train
CALCB,SNAP29,P10092,O95721,0,train
IAPP,RAMP3,P10997,O60896,1,train
ADAM10,AOC3,O14672,Q16853,0,train
THBS1,ABHD16A,P07996,O95870,0,train
CALM3,STXBP5L,P0DP25,Q9Y2K9,0,train
FGF1,NRP1,P05230,O14786,1,train
RELN,ITGA3,P78509,P26006,1,train
B2M,KLRD1,P61769,Q13241,1,train
LAMB1,PCDHB8,P07942,Q9UN66,0,train
ADM,GRINA,P35318,Q7Z429,0,train
POMC,ATP10D,P01189,Q9P241,0,train
HP,GRAMD2A,P00738,Q8IUY3,0,train
IAPP,RAMP2,P10997,O60895,1,train
ASIP,MC1R,P42127,Q01726,1,train
NLGN2,NRXN2,Q8NFZ4,Q9P2S2,1,train
LGALS9,CD44,O00182,P16070,1,train
BMP6,HJV,P22004,Q6ZVN8,1,train
ARTN,GFRA1,Q5T4W7,P56159,1,train
KNG1,BDKRB1,P01042,P46663,1,train
ICAM1,ITGAX,P05362,P20702,1,train
APOB,TLR6,P04114,Q9Y2C9,1,train
TNFSF10,RIPK1,P50591,Q13546,1,train
SEMA5A,ADGRV1,Q13591,Q8WXG9,0,train
ARTN,RET,Q5T4W7,P07949,1,train
TPH1,HTR2A,P17752,P28223,1,train
CALM3,PCDHA13,P0DP25,Q9Y5I0,0,train
INS,CSF1R,P01308,P07333,0,train
NRG1,DPYSL3,Q02297,Q14195,0,train
GNAI2,DRD2,P04899,P14416,1,train
B2M,COL25A1,P61769,Q9BXS0,0,train
CCL21,CCR7,O00585,P32248,1,train
APP,DCC,P05067,P43146,1,train
FGF9,FGFR4,P31371,P22455,1,train
COL4A1,TMEM217,P02462,Q8N7C4,0,train
FGF2,GPC4,P09038,O75487,1,train
CD14,VNN1,P08571,O95497,0,train
VEGFD,PDPK2P,O43915,Q6A1A2,0,train
VTN,PLXNA3,P04004,P51805,0,train
NRG1,SYNJ2,Q02297,O15056,0,train
CALM1,ADCY8,P0DP23,P40145,1,train
INHA,ACVR1,P05111,Q04771,1,train
C5,ERBB2,P01031,P04626,0,train
CGA,LHCGR,P01215,P22888,1,train
DLL1,NOTCH4,O00548,Q99466,1,train
VIP,VIPR1,P01282,P32241,1,train
EFEMP2,PLSCR4,O95967,Q9NRQ2,1,train
RARRES2,CMKLR2,Q99969,P46091,1,train
VIP,DPP4,P01282,P27487,1,train
APOE,PTPN2,P02649,P17706,0,train
EFNA4,EPHA2,P52798,P29317,1,train
CCN1,TVP23B,O00622,Q9NYZ1,0,train
NXPH2,NRXN1,O95156,Q9ULB1,1,train
HSP90B1,ERBB2,P14625,P04626,1,train
ADAM17,MET,P78536,P08581,1,train
AFDN,GUCY2C,P55196,P25092,0,train
OSTN,CD33,P61366,P20138,0,train
TPH1,HTR3B,P17752,O95264,0,train
ADM2,PIM1,Q7Z4H4,P11309,0,train
LPL,IL7R,P06858,P16871,0,train
NPFF,NPFFR2,O15130,Q9Y5X5,1,train
POMC,CD244,P01189,Q9BZW8,0,train
GAS6,LRRC4,Q14393,Q9HBW1,0,train
FGF4,FGFR1,P08620,P11362,1,train
CKLF,NIBAN1,Q9UBR5,Q9BZQ8,0,train
CNTN2,MIP,Q02246,P30301,0,train
POMC,VIPR1,P01189,P32241,1,train
NPY,ATP8A1,P01303,Q9Y2Q0,0,train
CCN2,OR52H1,P29279,Q8NGJ2,0,train
LGALS9,TMEM68,O00182,Q96MH6,0,train
GCG,GLP2R,P01275,O95838,1,train
SHANK1,ADGRB2,Q9Y566,O60241,1,train
RSPO1,SLC39A2,Q2MKA7,Q9NP94,0,train
CXCL11,MTNR1A,O14625,P48039,1,train
B2M,CD3D,P61769,P04234,1,train
ADM2,PSENEN,Q7Z4H4,Q9NZ42,0,train
HBEGF,AUTS2,Q99075,Q8WXX7,0,train
QRFP,TMEM248,P83859,Q9NWD8,0,train
RTN4,NGFR,Q9NQC3,P08138,1,train
PSEN1,RHEX,P49768,Q6ZWK4,0,train
ADCYAP1,RHEX,P18509,Q6ZWK4,0,train
HMGB1,IFITM2,P09429,Q01629,0,train
LTB,TMEM231,Q06643,Q9H6L2,0,train
IL18,SHROOM3,Q14116,Q8TF72,0,train
CXCL8,GFRA2,P10145,O00451,0,train
CD40LG,P2RX5,P29965,Q93086,0,train
IL18,IL18RAP,Q14116,O95256,1,train
CXCL11,GRM7,O14625,Q14831,1,train
ADM2,ADCYAP1R1,Q7Z4H4,P41586,1,train
IFNA21,PAQR4,P01568,Q8N4S7,0,train
COL9A1,SLC6A11,P20849,P48066,0,train
HLA-A,KIR2DL1,P04439,P43626,1,train
PDGFA,TRBV6-4,P04085,A0A1B0GX49,0,train
SEMA4B,ERAP1,Q9NPR2,Q9NZ08,0,train
SCT,PLLP,P09683,Q9Y342,0,train
FGF13,DCHS1,Q92913,Q96JQ0,0,train
NPS,ADRB3,P0C0P6,P13945,1,train
NGF,BRS3,P01138,P32247,0,train
DLK1,BNIP3L,P80370,O60238,0,train
TGFB1,SLC47A2,P01137,Q86VL8,0,train
LIF,LIFR,P15018,P42702,1,train
APOB,MTTP,P04114,P55157,1,train
RTN4,SLC35F4,Q9NQC3,A4IF30,0,train
HRAS,GRIN2D,P01112,O15399,1,train
VEGFA,RET,P15692,P07949,1,train
AVP,NECTIN1,P01185,Q15223,0,train
AGRN,LRP4,O00468,O75096,1,train
COL1A2,CNTNAP4,P08123,Q9C0A0,0,train
CCL8,WHRN,P80075,Q9P202,0,train
CALM3,SCN4A,P0DP25,P35499,1,train
APOB,LRP2,P04114,P98164,1,train
DMP1,ITGB3,Q13316,P05106,1,train
GNAI2,P2RY12,P04899,Q9H244,1,train
EFNB1,SPTY2D1OS,P98172,A0A0U1RRN3,0,train
IL22,COMTD1,Q9GZX6,Q86VU5,0,train
COL4A6,NPY1R,Q14031,P25929,0,train
CALM2,APLP2,P0DP24,Q06481,0,train
EFNB1,SMPD3,P98172,Q9NY59,0,train
LAMA1,SLCO2B1,P25391,O94956,0,train
TGFB2,KLRG2,P61812,A4D1S0,0,train
ICAM1,CMTM6,P05362,Q9NX76,0,train
RGMB,BMPR1B,Q6NW40,O00238,1,train
COL5A1,ITGB1,P20908,P05556,1,train
AGRN,CLDN9,O00468,O95484,0,train
EFNA5,EPHA6,P52803,Q9UF33,1,train
PLG,PLGRKT,P00747,Q9HBL7,1,train
MADCAM1,OR8H3,Q13477,Q8N146,0,train
HEBP1,GRK2,Q9NRV9,P25098,0,train
TAC1,TACR3,P20366,P29371,1,train
CNTF,IL6R,P26441,P08887,1,train
GDF15,OR51B5,Q99988,Q9H339,0,train
TFF2,PIP5KL1,Q03403,Q5T9C9,0,train
CALCA,TSHR,P01258,P16473,1,train
AFDN,NECTIN3,P55196,Q9NQS3,1,train
ANGPTL1,SCN7A,O95841,Q01118,0,train
GNAI2,MTNR1B,P04899,P49286,1,train
NPS,RAB1C,P0C0P6,Q92928,0,train
APLN,EPHA1,Q9ULZ1,P21709,0,train
APOA1,TNFRSF14,P02647,Q92956,0,train
SLURP1,CHRNA7,P55000,P36544,1,train
CCL19,VXN,Q99731,Q8TAG6,0,train
FGF2,FGFR2,P09038,P21802,1,train
ZP3,DYSF,P21754,O75923,0,train
TNFSF12,TNFRSF8,O43508,P28908,1,train
RNASE2,HTR7,P10153,P34969,0,train
TNFSF13,HAS1,O75888,Q92839,0,train
GIP,GPR20,P09681,Q99678,1,train
ANOS1,NOTCH2,P23352,Q04721,0,train
GNAI2,FLNA,P04899,P21333,0,train
UTS2B,FAM149B1,Q765I0,Q96BN6,0,train
SEMA6D,OR2T3,Q8NFY4,Q8NH03,0,train
TGM2,ITGB3,P21980,P05106,1,train
ADCYAP1,STOML3,P18509,Q8TAV4,0,train
COL1A1,CD93,P02452,Q9NPY3,1,train
AGT,AGTR1,P01019,P30556,1,train
MFNG,SLC6A19,O00587,Q695T7,0,train
ADAM9,CPNE5,Q13443,Q9HCH3,0,train
NRG1,TNFRSF1A,Q02297,P19438,0,train
NPW,NPBWR1,Q8N729,P48145,1,train
ASIP,MC2R,P42127,Q01718,1,train
APP,APLP2,P05067,Q06481,1,train
BMP15,ACVR2A,O95972,P27037,1,train
GNAI2,ADRA2B,P04899,P18089,1,train
NXPH1,SCN4A,P58417,P35499,0,train
VTN,PLAUR,P04004,Q03405,1,train
MFGE8,ITGB3,Q08431,P05106,1,train
CALCA,OR5K2,P01258,Q8NHB8,0,train
TGM2,ITGA4,P21980,P13612,1,train
GC,LRP2,P02774,P98164,1,train
FGF9,FGFR1,P31371,P11362,1,train
FGA,KCNS3,P02671,Q9BQ31,0,train
INSL3,CHRNA10,P51460,Q9GZZ6,0,train
PSEN1,NOTCH1,P49768,P46531,1,train
C4A,CR1,P0C0L4,P17927,1,train
CALCB,VIPR1,P10092,P32241,1,train
WNT3A,FZD1,P56704,Q9UP38,1,train
LGALS1,THY1,P09382,P04216,0,train
NPPC,WSCD1,P23582,Q658N2,0,train
PRND,FAM189A2,Q9UKY0,Q15884,0,train
COL1A2,ITGA2B,P08123,P08514,1,train
CD40LG,TRBJ2-1,P29965,A0A0A0MTA7,0,train
VEGFB,STX3,P49765,Q13277,0,train
EFNA1,HTR3D,P20827,Q70Z44,0,train
NPS,PTH1R,P0C0P6,Q03431,1,train
TFPI,LRP1,P10646,Q07954,1,train
APOB,ITGB2,P04114,P05107,1,train
IL2,TM2D1,P60568,Q9BX74,0,train
COL1A2,CAV2,P08123,P51636,0,train
IL10,LPP,P22301,Q93052,0,train
TG,ASGR1,P01266,P07306,1,train
UCN,CRHR2,P55089,Q13324,1,train
TPH1,DHRS3,P17752,O75911,0,train
VEGFB,NRP1,P49765,O14786,1,train
MADCAM1,CAMK2D,Q13477,Q13557,0,train
SEMA4D,ANPEP,Q92854,P15144,0,train
TGFB2,TGFBR2,P61812,P37173,1,train
CALM3,PDE1C,P0DP25,Q14123,1,train
ICAM1,IL2RA,P05362,P01589,1,train
CALCA,ADRB2,P01258,P07550,1,train
VIP,TSHR,P01282,P16473,1,train
WNT1,OR6V1,P04628,Q8N148,0,train
SEMA3B,NRP1,Q13214,O14786,1,train
GC,COLCA1,P02774,Q6ZS62,0,train
GPHA2,EPHA6,Q96T91,Q9UF33,1,train
APOB,SYNDIG1L,P04114,A6NDD5,0,train
VIP,AVPR1A,P01282,P37288,1,train
NRG2,LITAFD,O14511,A0A1B0GVX0,0,train
MADCAM1,ITGA4,Q13477,P13612,1,train
C5,C5AR2,P01031,Q9P296,1,train
HLA-A,LILRB1,P04439,Q8NHL6,1,train
PTN,PTPRZ1,P21246,P23471,1,train
HLA-A,RRH,P04439,O14718,0,train
CXCL13,ACKR4,O43927,Q9NPB9,1,train
APOC3,TSPO2,P02656,Q5TGU0,0,train
CRP,SLC11A2,P02741,P49281,0,train
MFGE8,ITGAV,Q08431,P06756,1,train
GNAI2,EPN1,P04899,Q9Y6I3,0,train
HSP90B1,ENTPD8,P14625,Q5MY95,0,train
CALM3,PDE1B,P0DP25,Q01064,1,train
LAMA1,SDC4,P25391,P31431,1,train
RLN2,RAMP2,P04090,O60895,1,train
WNT3,ZDHHC2,P56703,Q9UIJ5,0,train
FGF17,FGFR2,O60258,P21802,1,train
THBS2,CD36,P35442,P16671,1,train
FBN1,VEZT,P35555,Q9HBM0,0,train
UCN2,IL10RB,Q96RP3,Q08334,1,train
HMGB1,SDC1,P09429,P18827,1,train
ADAM9,PIP5K1C,Q13443,O60331,0,train
VASP,CXCR2,P50552,P25025,1,train
EDA,EDAR,Q92838,Q9UNE0,1,train
TNC,ITGA8,P24821,P53708,1,train
