name,gene,uniprot,location,origin,lr_type
AF-P20339-F1-model_v4,RAB5A,P20339,"Cell membrane;Early endosome membrane;Melanosome;Cytoplasmic vesicle;Cell projection, ruffle;Membrane;Cytoplasm, cytosol;Cytoplasmic vesicle, phagosome membrane;Endosome membrane",u,receptor
AF-P20366-F1-model_v4,TAC1,P20366,Secreted,c,ligand
AF-P20382-F1-model_v4,PMCH,P20382,Secreted,c,ligand
AF-P20393-F1-model_v4,NR1D1,P20393,"Nucleus;Cytoplasm;Cell projection, dendrite;Cell projection, dendritic spine",u,receptor
AF-P20396-F1-model_v4,TRH,P20396,Secreted,c,ligand
AF-P20594-F1-model_v4,NPR2,P20594,Cell membrane,c,receptor
AF-P20648-F1-model_v4,ATP4A,P20648,Apical cell membrane,u,receptor
AF-P20701-F1-model_v4,ITGAL,P20701,Cell membrane,c,receptor
AF-P20702-F1-model_v4,ITGAX,P20702,Membrane,c,receptor
AF-P20742-F1-model_v4,PZP,P20742,Secreted,u,ligand
AF-P20774-F1-model_v4,OGN,P20774,"Secreted, extracellular space, extracellular matrix",u,ligand
AF-P20783-F1-model_v4,NTF3,P20783,Secreted,c,ligand
AF-P20800-F1-model_v4,EDN2,P20800,Secreted,c,ligand
AF-P20809-F1-model_v4,IL11,P20809,Secreted,c,ligand
AF-P20827-F1-model_v4,EFNA1,P20827,Cell membrane;Secreted,c,ligand
AF-P20849-F1-model_v4,COL9A1,P20849,"Secreted, extracellular space, extracellular matrix",c,ligand
AF-P20851-F1-model_v4,C4BPB,P20851,Secreted,u,ligand
AF-P20908-F1-model_v4,COL5A1,P20908,"Secreted, extracellular space, extracellular matrix",c,ligand
AF-P20916-F1-model_v4,MAG,P20916,Cell membrane;Membrane raft,c,receptor
AF-P20963-F1-model_v4,CD247,P20963,Cell membrane,c,receptor
AF-P21128-F1-model_v4,ENDOU,P21128,Secreted,u,ligand
AF-P21145-F1-model_v4,MAL,P21145,Membrane,u,receptor
AF-P21246-F1-model_v4,PTN,P21246,Secreted,c,ligand
AF-P21281-F1-model_v4,ATP6V1B2,P21281,"Apical cell membrane;Melanosome;Cytoplasm;Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane;Cytoplasmic vesicle, clathrin-coated vesicle membrane",u,receptor
AF-P21333-F1-model_v4,FLNA,P21333,"Cytoplasm, cell cortex;Cytoplasm, cytoskeleton;Perikaryon;Cell projection, growth cone",u,receptor
AF-P21439-F1-model_v4,ABCB4,P21439,"Cell membrane;Apical cell membrane;Membrane raft;Cytoplasm;Cytoplasmic vesicle, clathrin-coated vesicle",u,receptor
AF-P21452-F1-model_v4,TACR2,P21452,Cell membrane,c,receptor
AF-P21453-F1-model_v4,S1PR1,P21453,Cell membrane;Endosome;Membrane raft,c,receptor
AF-P21462-F1-model_v4,FPR1,P21462,Cell membrane,c,receptor
AF-P21554-F1-model_v4,CNR1,P21554,"Cell membrane;Membrane raft;Mitochondrion outer membrane;Cell projection, axon;Presynapse",c,receptor
AF-P21583-F1-model_v4,KITLG,P21583,"Cell membrane;Cytoplasm;Cytoplasm, cytoskeleton;Cell membrane;Cell projection, lamellipodium;Cell projection, filopodium;Secreted",c,ligand
AF-P21589-F1-model_v4,NT5E,P21589,Cell membrane,c,receptor
AF-P21709-F1-model_v4,EPHA1,P21709,Cell membrane,c,receptor
AF-P21728-F1-model_v4,DRD1,P21728,"Cell membrane;Endoplasmic reticulum membrane;Cell projection, dendrite;Cell projection, dendritic spine",u,receptor
AF-P21730-F1-model_v4,C5AR1,P21730,Cell membrane;Cytoplasmic vesicle,c,receptor
AF-P21731-F1-model_v4,TBXA2R,P21731,Cell membrane,c,receptor
AF-P21741-F1-model_v4,MDK,P21741,Secreted,c,ligand
AF-P21754-F1-model_v4,ZP3,P21754,Zona pellucida;Cell membrane,c,ligand
AF-P21757-F1-model_v4,MSR1,P21757,Membrane,u,receptor
AF-P21781-F1-model_v4,FGF7,P21781,Secreted,c,ligand
AF-P21796-F1-model_v4,VDAC1,P21796,Mitochondrion outer membrane;Cell membrane;Membrane raft,u,receptor
AF-P21802-F1-model_v4,FGFR2,P21802,Cell membrane;Golgi apparatus;Cytoplasmic vesicle;Cell membrane;Cell membrane;Secreted;Secreted,c,receptor
AF-P21810-F1-model_v4,BGN,P21810,"Secreted, extracellular space, extracellular matrix",c,ligand
AF-P21815-F1-model_v4,IBSP,P21815,Secreted,c,ligand
AF-P21817-F1-model_v4,RYR1,P21817,Sarcoplasmic reticulum membrane;Sarcoplasmic reticulum,c,receptor
AF-P21854-F1-model_v4,CD72,P21854,Membrane,c,receptor
AF-P21860-F1-model_v4,ERBB3,P21860,Cell membrane;Secreted,c,receptor
AF-P21917-F1-model_v4,DRD4,P21917,Cell membrane,c,receptor
AF-P21918-F1-model_v4,DRD5,P21918,Cell membrane,u,receptor
AF-P21926-F1-model_v4,CD9,P21926,"Cell membrane;Membrane;Secreted, extracellular exosome",c,receptor
AF-P21941-F1-model_v4,MATN1,P21941,"Secreted, extracellular space, extracellular matrix",c,ligand
AF-P21964-F1-model_v4,COMT,P21964,Cytoplasm;Cell membrane,u,receptor
AF-P21980-F1-model_v4,TGM2,P21980,"Cytoplasm, cytosol;Nucleus;Chromosome;Secreted, extracellular space, extracellular matrix;Cell membrane;Mitochondrion;Cytoplasm, perinuclear region",c,ligand
AF-P22001-F1-model_v4,KCNA3,P22001,Cell membrane,c,receptor
AF-P22003-F1-model_v4,BMP5,P22003,Secreted,c,ligand
AF-P22004-F1-model_v4,BMP6,P22004,Secreted,c,ligand
AF-P22079-F1-model_v4,LPO,P22079,Secreted;Cytoplasm,u,ligand
AF-P22105-F1-model_v4,TNXB,P22105,"Secreted, extracellular space, extracellular matrix",u,ligand
AF-P22223-F1-model_v4,CDH3,P22223,Cell membrane,u,receptor
AF-P22301-F1-model_v4,IL10,P22301,Secreted,c,ligand
AF-P22303-F1-model_v4,ACHE,P22303,Synapse;Secreted;Cell membrane;Nucleus;Cell membrane,u,ligand
AF-P22362-F1-model_v4,CCL1,P22362,Secreted,c,ligand
AF-P22392-F1-model_v4,NME2,P22392,"Cytoplasm;Cell projection, lamellipodium;Cell projection, ruffle;Cytoplasm;Cytoplasm, perinuclear region;Nucleus;Cytoplasm;Cytoplasm, perinuclear region;Nucleus",u,receptor
AF-P22413-F1-model_v4,ENPP1,P22413,Cell membrane;Basolateral cell membrane;Secreted,u,ligand
AF-P22455-F1-model_v4,FGFR4,P22455,Cell membrane;Endosome;Endoplasmic reticulum;Secreted,c,receptor
AF-P22459-F1-model_v4,KCNA4,P22459,"Cell membrane;Cell projection, axon",u,receptor
AF-P22460-F1-model_v4,KCNA5,P22460,Cell membrane,u,receptor
AF-P22466-F1-model_v4,GAL,P22466,Secreted,c,ligand
AF-P22607-F1-model_v4,FGFR3,P22607,Cell membrane;Cytoplasmic vesicle;Endoplasmic reticulum;Cell membrane;Secreted;Cell membrane,c,receptor
AF-P22626-F1-model_v4,HNRNPA2B1,P22626,"Nucleus;Nucleus, nucleoplasm;Cytoplasm;Cytoplasmic granule;Secreted, extracellular exosome;Nucleus;Cytoplasm",u,ligand
AF-P22681-F1-model_v4,CBL,P22681,"Cytoplasm;Cell membrane;Cell projection, cilium;Golgi apparatus",u,receptor
AF-P22692-F1-model_v4,IGFBP4,P22692,Secreted,c,ligand
AF-P22694-F1-model_v4,PRKACB,P22694,Cytoplasm;Cell membrane;Membrane;Nucleus,u,receptor
AF-P22732-F1-model_v4,SLC2A5,P22732,"Apical cell membrane;Cell membrane;Cell membrane, sarcolemma",u,receptor
AF-P22735-F1-model_v4,TGM1,P22735,Membrane,u,receptor
AF-P22748-F1-model_v4,CA4,P22748,Cell membrane,u,receptor
AF-P22749-F1-model_v4,GNLY,P22749,Secreted,u,ligand
AF-P22792-F1-model_v4,CPN2,P22792,Secreted,u,ligand
AF-P22794-F1-model_v4,EVI2A,P22794,Membrane,u,receptor
AF-P22888-F1-model_v4,LHCGR,P22888,Cell membrane,c,receptor
AF-P22891-F1-model_v4,PROZ,P22891,Secreted,u,ligand
AF-P22894-F1-model_v4,MMP8,P22894,"Cytoplasmic granule;Secreted, extracellular space, extracellular matrix",u,ligand
AF-P22897-F1-model_v4,MRC1,P22897,Endosome membrane;Cell membrane,u,receptor
AF-P23083-F1-model_v4,IGHV1-2,P23083,Secreted;Cell membrane,u,ligand
AF-P23142-F1-model_v4,FBLN1,P23142,"Secreted, extracellular space, extracellular matrix",c,ligand
AF-P23229-F1-model_v4,ITGA6,P23229,Cell membrane;Cell membrane,c,receptor
AF-P23276-F1-model_v4,KEL,P23276,Cell membrane,c,receptor
AF-P23280-F1-model_v4,CA6,P23280,Secreted,u,ligand
AF-P23297-F1-model_v4,S100A1,P23297,Cytoplasm;Sarcoplasmic reticulum;Mitochondrion,c,ligand
AF-P23352-F1-model_v4,ANOS1,P23352,Cell membrane;Secreted,c,ligand
AF-P23415-F1-model_v4,GLRA1,P23415,"Postsynaptic cell membrane;Synapse;Perikaryon;Cell projection, dendrite;Cell membrane",u,receptor
AF-P23416-F1-model_v4,GLRA2,P23416,Postsynaptic cell membrane;Synapse;Cell membrane;Cell projection,c,receptor
AF-P23435-F1-model_v4,CBLN1,P23435,Secreted;Postsynaptic cell membrane,u,ligand
AF-P23467-F1-model_v4,PTPRB,P23467,Membrane,c,receptor
AF-P23468-F1-model_v4,PTPRD,P23468,Membrane,u,receptor
AF-P23469-F1-model_v4,PTPRE,P23469,Cell membrane;Cytoplasm;Cytoplasm,u,receptor
AF-P23470-F1-model_v4,PTPRG,P23470,Membrane,c,receptor
AF-P23471-F1-model_v4,PTPRZ1,P23471,Cell membrane;Secreted;Secreted,c,receptor
AF-P23508-F1-model_v4,MCC,P23508,"Cell membrane;Cell projection, lamellipodium;Nucleus;Cytoplasm",u,receptor
AF-P23510-F1-model_v4,TNFSF4,P23510,Membrane,c,ligand
AF-P23515-F1-model_v4,OMG,P23515,Cell membrane,c,ligand
AF-P23528-F1-model_v4,CFL1,P23528,"Nucleus matrix;Cytoplasm, cytoskeleton;Cell projection, ruffle membrane;Cell projection, lamellipodium membrane;Cell projection, lamellipodium;Cell projection, growth cone;Cell projection, axon",u,receptor
AF-P23560-F1-model_v4,BDNF,P23560,Secreted;Secreted,c,ligand
AF-P23582-F1-model_v4,NPPC,P23582,Secreted,c,ligand
AF-P23634-F1-model_v4,ATP2B4,P23634,"Cell membrane;Cell projection, cilium, flagellum membrane",u,receptor
AF-P23942-F1-model_v4,PRPH2,P23942,"Membrane;Cell projection, cilium, photoreceptor outer segment;Photoreceptor inner segment",u,receptor
AF-P23945-F1-model_v4,FSHR,P23945,Cell membrane,c,receptor
AF-P23946-F1-model_v4,CMA1,P23946,Secreted;Cytoplasmic granule,u,ligand
AF-P23975-F1-model_v4,SLC6A2,P23975,Cell membrane,u,receptor
AF-P24001-F1-model_v4,IL32,P24001,Secreted,u,ligand
AF-P24043-F1-model_v4,LAMA2,P24043,"Secreted, extracellular space, extracellular matrix, basement membrane",c,ligand
AF-P24046-F1-model_v4,GABRR1,P24046,Postsynaptic cell membrane;Cell membrane,u,receptor
AF-P24071-F1-model_v4,FCAR,P24071,Cell membrane;Cell membrane;Cell membrane;Secreted;Secreted,u,ligand
AF-P24158-F1-model_v4,PRTN3,P24158,Cytoplasmic granule;Secreted;Cell membrane;Membrane raft,u,ligand
AF-P24347-F1-model_v4,MMP11,P24347,"Secreted, extracellular space, extracellular matrix",u,ligand
AF-P24387-F1-model_v4,CRHBP,P24387,Secreted,u,ligand
AF-P24394-F1-model_v4,IL4R,P24394,Cell membrane;Secreted,c,receptor
AF-P24530-F1-model_v4,EDNRB,P24530,Cell membrane,c,receptor
AF-P24592-F1-model_v4,IGFBP6,P24592,Secreted,u,ligand
AF-P24593-F1-model_v4,IGFBP5,P24593,Secreted,u,ligand
AF-P24821-F1-model_v4,TNC,P24821,"Secreted, extracellular space, extracellular matrix",c,ligand
AF-P24855-F1-model_v4,DNASE1,P24855,Secreted;Zymogen granule;Nucleus envelope,u,ligand
AF-P25021-F1-model_v4,HRH2,P25021,Cell membrane,c,receptor
AF-P25024-F1-model_v4,CXCR1,P25024,Cell membrane,c,receptor
AF-P25025-F1-model_v4,CXCR2,P25025,Cell membrane,c,receptor
AF-P25054-F1-model_v4,APC,P25054,"Cell junction, adherens junction;Cytoplasm, cytoskeleton;Cell projection, lamellipodium;Cell projection, ruffle membrane;Cytoplasm;Cell membrane",u,receptor
AF-P25063-F1-model_v4,CD24,P25063,Cell membrane,c,ligand
AF-P25067-F1-model_v4,COL8A2,P25067,"Secreted, extracellular space, extracellular matrix, basement membrane",c,ligand
AF-P25089-F1-model_v4,FPR3,P25089,Cell membrane,c,receptor
AF-P25090-F1-model_v4,FPR2,P25090,Cell membrane,c,receptor
AF-P25092-F1-model_v4,GUCY2C,P25092,Cell membrane;Endoplasmic reticulum membrane,c,receptor
AF-P25098-F1-model_v4,GRK2,P25098,Cytoplasm;Cell membrane;Postsynapse;Presynapse,u,receptor
AF-P25100-F1-model_v4,ADRA1D,P25100,Cell membrane,u,receptor
AF-P25101-F1-model_v4,EDNRA,P25101,Cell membrane,c,receptor
AF-P25103-F1-model_v4,TACR1,P25103,Cell membrane,c,receptor
AF-P25105-F1-model_v4,PTAFR,P25105,Cell membrane,u,receptor
AF-P25106-F1-model_v4,ACKR3,P25106,Cell membrane;Early endosome;Recycling endosome,c,receptor
AF-P25116-F1-model_v4,F2R,P25116,Cell membrane,c,receptor
AF-P25189-F1-model_v4,MPZ,P25189,Cell membrane;Myelin membrane,u,receptor
AF-P25311-F1-model_v4,AZGP1,P25311,Secreted,c,ligand
AF-P25391-F1-model_v4,LAMA1,P25391,"Secreted, extracellular space, extracellular matrix, basement membrane",c,ligand
AF-P25445-F1-model_v4,FAS,P25445,Cell membrane;Membrane raft;Secreted;Secreted;Secreted;Secreted;Secreted,c,receptor
AF-P25705-F1-model_v4,ATP5F1A,P25705,Mitochondrion;Mitochondrion inner membrane;Cell membrane,u,receptor
AF-P25774-F1-model_v4,CTSS,P25774,"Lysosome;Secreted;Cytoplasmic vesicle, phagosome",u,ligand
AF-P25815-F1-model_v4,S100P,P25815,"Nucleus;Cytoplasm;Cell projection, microvillus membrane",u,receptor
AF-P25929-F1-model_v4,NPY1R,P25929,Cell membrane,c,receptor
AF-P25940-F1-model_v4,COL5A3,P25940,"Secreted, extracellular space, extracellular matrix",u,ligand
AF-P25942-F1-model_v4,CD40,P25942,Cell membrane;Secreted,c,receptor
AF-P26006-F1-model_v4,ITGA3,P26006,"Cell membrane;Cell membrane;Cell projection, invadopodium membrane;Cell projection, filopodium membrane",c,receptor
AF-P26010-F1-model_v4,ITGB7,P26010,Membrane,c,receptor
AF-P26012-F1-model_v4,ITGB8,P26012,Cell membrane,c,receptor
AF-P26022-F1-model_v4,PTX3,P26022,Secreted,u,ligand
AF-P26038-F1-model_v4,MSN,P26038,"Cell membrane;Cytoplasm, cytoskeleton;Apical cell membrane;Cell projection, microvillus membrane;Cell projection, microvillus",c,receptor
AF-P26045-F1-model_v4,PTPN3,P26045,"Cell membrane;Cytoplasm, cytoskeleton",u,receptor
AF-P26232-F1-model_v4,CTNNA2,P26232,"Cell membrane;Cytoplasm;Cytoplasm, cytoskeleton;Cell junction, adherens junction;Cell projection, axon;Nucleus",u,receptor
AF-P26378-F1-model_v4,ELAVL4,P26378,"Cytoplasm;Perikaryon;Cell projection, dendrite;Cell projection, axon;Cell projection, growth cone",u,receptor
AF-P26441-F1-model_v4,CNTF,P26441,Cytoplasm,c,ligand
AF-P26447-F1-model_v4,S100A4,P26447,Secreted;Nucleus;Cytoplasm,c,ligand
AF-P26583-F1-model_v4,HMGB2,P26583,Nucleus;Chromosome;Cytoplasm;Secreted,u,ligand
AF-P26678-F1-model_v4,PLN,P26678,Endoplasmic reticulum membrane;Sarcoplasmic reticulum membrane;Mitochondrion membrane;Membrane,u,receptor
AF-P26715-F1-model_v4,KLRC1,P26715,Cell membrane,c,receptor
AF-P26717-F1-model_v4,KLRC2,P26717,Cell membrane,c,receptor
AF-P26718-F1-model_v4,KLRK1,P26718,Cell membrane,c,receptor
AF-P26842-F1-model_v4,CD27,P26842,Membrane,c,receptor
AF-P26927-F1-model_v4,MST1,P26927,Secreted,c,ligand
AF-P26951-F1-model_v4,IL3RA,P26951,Membrane,c,receptor
AF-P26992-F1-model_v4,CNTFR,P26992,Cell membrane,c,receptor
AF-P27037-F1-model_v4,ACVR2A,P27037,Membrane,c,receptor
AF-P27105-F1-model_v4,STOM,P27105,"Cell membrane;Cytoplasm, cytoskeleton;Cell membrane;Membrane raft;Melanosome;Cytoplasmic vesicle",u,receptor
AF-P27169-F1-model_v4,PON1,P27169,"Secreted, extracellular space",u,ligand
AF-P27216-F1-model_v4,ANXA13,P27216,Apical cell membrane;Cell membrane;Cytoplasmic vesicle,u,receptor
AF-P27352-F1-model_v4,CBLIF,P27352,Secreted,u,ligand
AF-P27361-F1-model_v4,MAPK3,P27361,"Cytoplasm;Nucleus;Membrane, caveola;Cell junction, focal adhesion",u,receptor
AF-P27448-F1-model_v4,MARK3,P27448,"Cell membrane;Cell projection, dendrite;Cytoplasm",u,receptor
AF-P27482-F1-model_v4,CALML3,P27482,-,c,ligand
AF-P27487-F1-model_v4,DPP4,P27487,"Secreted;Cell membrane;Apical cell membrane;Cell projection, invadopodium membrane;Cell projection, lamellipodium membrane;Cell junction;Membrane raft",c,receptor
AF-P27539-F1-model_v4,GDF1,P27539,Secreted,c,ligand
AF-P27658-F1-model_v4,COL8A1,P27658,"Secreted, extracellular space, extracellular matrix, basement membrane",c,ligand
AF-P27701-F1-model_v4,CD82,P27701,Cell membrane,c,receptor
AF-P27797-F1-model_v4,CALR,P27797,"Endoplasmic reticulum lumen;Cytoplasm, cytosol;Secreted, extracellular space, extracellular matrix;Cell surface;Sarcoplasmic reticulum lumen;Cytoplasmic vesicle, secretory vesicle, Cortical granule;Cytolytic granule",c,ligand
AF-P27815-F1-model_v4,PDE4A,P27815,"Cytoplasm, perinuclear region;Cytoplasm, perinuclear region;Cell projection, ruffle membrane;Cytoplasm, cytosol;Membrane;Cytoplasm, perinuclear region;Cytoplasm, cytosol;Membrane",u,receptor
AF-P27824-F1-model_v4,CANX,P27824,Endoplasmic reticulum membrane;Endoplasmic reticulum;Melanosome,c,receptor
AF-P27918-F1-model_v4,CFP,P27918,Secreted,u,ligand
AF-P27930-F1-model_v4,IL1R2,P27930,Secreted;Cell membrane,c,receptor
AF-P28039-F1-model_v4,AOAH,P28039,Secreted;Cytoplasmic vesicle,u,ligand
AF-P28161-F1-model_v4,GSTM2,P28161,Cytoplasm,c,ligand
AF-P28221-F1-model_v4,HTR1D,P28221,Cell membrane,c,receptor
AF-P28222-F1-model_v4,HTR1B,P28222,Cell membrane,c,receptor
AF-P28223-F1-model_v4,HTR2A,P28223,"Cell membrane;Cell projection, dendrite;Cell projection, axon;Cytoplasmic vesicle;Membrane, caveola;Presynapse",c,receptor
AF-P28300-F1-model_v4,LOX,P28300,"Secreted;Secreted, extracellular space",u,ligand
AF-P28325-F1-model_v4,CST5,P28325,Secreted,u,ligand
AF-P28335-F1-model_v4,HTR2C,P28335,Cell membrane,c,receptor
AF-P28336-F1-model_v4,NMBR,P28336,Cell membrane,c,receptor
AF-P28472-F1-model_v4,GABRB3,P28472,Postsynaptic cell membrane;Cell membrane;Cytoplasmic vesicle membrane,u,receptor
AF-P28476-F1-model_v4,GABRR2,P28476,Postsynaptic cell membrane;Cell membrane,u,receptor
AF-P28482-F1-model_v4,MAPK1,P28482,"Cytoplasm, cytoskeleton, spindle;Nucleus;Cytoplasm, cytoskeleton, microtubule organizing center, centrosome;Cytoplasm;Membrane, caveola;Cell junction, focal adhesion",u,receptor
AF-P28566-F1-model_v4,HTR1E,P28566,Cell membrane,c,receptor
AF-P28799-F1-model_v4,GRN,P28799,Secreted;Lysosome,c,ligand
AF-P28827-F1-model_v4,PTPRM,P28827,Cell membrane,c,receptor
AF-P28906-F1-model_v4,CD34,P28906,Membrane,c,ligand
AF-P28907-F1-model_v4,CD38,P28907,Membrane,u,receptor
AF-P28908-F1-model_v4,TNFRSF8,P28908,Cell membrane;Cytoplasm,c,receptor
AF-P29016-F1-model_v4,CD1B,P29016,Cell membrane;Endosome membrane;Lysosome membrane,c,receptor
AF-P29017-F1-model_v4,CD1C,P29017,Cell membrane;Endosome membrane;Lysosome,u,receptor
AF-P29033-F1-model_v4,GJB2,P29033,"Cell membrane;Cell junction, gap junction",c,receptor
AF-P29074-F1-model_v4,PTPN4,P29074,"Cell membrane;Cytoplasm, cytoskeleton;Cytoplasm",u,receptor
AF-P29122-F1-model_v4,PCSK6,P29122,Secreted;Secreted;Endoplasmic reticulum;Endoplasmic reticulum;Endomembrane system;Endomembrane system;Secreted,u,ligand
AF-P29274-F1-model_v4,ADORA2A,P29274,Cell membrane,c,receptor
AF-P29275-F1-model_v4,ADORA2B,P29275,Cell membrane,c,receptor
AF-P29279-F1-model_v4,CCN2,P29279,"Secreted, extracellular space, extracellular matrix;Secreted",c,ligand
AF-P29317-F1-model_v4,EPHA2,P29317,"Cell membrane;Cell projection, ruffle membrane;Cell projection, lamellipodium membrane;Cell junction, focal adhesion",c,receptor
AF-P29320-F1-model_v4,EPHA3,P29320,Cell membrane;Secreted,c,receptor
AF-P29322-F1-model_v4,EPHA8,P29322,Cell membrane;Cell projection;Early endosome membrane,c,receptor
AF-P29323-F1-model_v4,EPHB2,P29323,"Cell membrane;Cell projection, axon;Cell projection, dendrite",c,receptor
AF-P29350-F1-model_v4,PTPN6,P29350,Cytoplasm;Nucleus,c,ligand
AF-P29371-F1-model_v4,TACR3,P29371,Cell membrane,c,receptor
AF-P29376-F1-model_v4,LTK,P29376,Cell membrane,u,receptor
AF-P29400-F1-model_v4,COL4A5,P29400,"Secreted, extracellular space, extracellular matrix, basement membrane",c,ligand
AF-P29459-F1-model_v4,IL12A,P29459,Secreted,c,ligand
AF-P29460-F1-model_v4,IL12B,P29460,Secreted,c,ligand
AF-P29466-F1-model_v4,CASP1,P29466,Cytoplasm;Cell membrane,u,receptor
AF-P29474-F1-model_v4,NOS3,P29474,"Cell membrane;Membrane, caveola;Cytoplasm, cytoskeleton;Golgi apparatus",u,receptor
AF-P29475-F1-model_v4,NOS1,P29475,"Cell membrane, sarcolemma;Cell projection, dendritic spine",u,receptor
AF-P29622-F1-model_v4,SERPINA4,P29622,Secreted,u,ligand
AF-P29965-F1-model_v4,CD40LG,P29965,Cell membrane;Cell surface;Secreted,c,ligand
AF-P29966-F1-model_v4,MARCKS,P29966,"Cytoplasm, cytoskeleton;Membrane",u,receptor
AF-P29972-F1-model_v4,AQP1,P29972,Cell membrane,c,receptor
AF-P29973-F1-model_v4,CNGA1,P29973,Cell membrane,u,receptor
AF-P29992-F1-model_v4,GNA11,P29992,Cell membrane;Cytoplasm,u,receptor
AF-P30153-F1-model_v4,PPP2R1A,P30153,"Cytoplasm;Nucleus;Chromosome, centromere;Lateral cell membrane;Cell projection, dendrite",u,receptor
AF-P30203-F1-model_v4,CD6,P30203,Cell membrane;Secreted,c,ligand
AF-P30273-F1-model_v4,FCER1G,P30273,Cell membrane,u,receptor
AF-P30301-F1-model_v4,MIP,P30301,"Cell membrane;Cell junction, gap junction",c,receptor
AF-P30408-F1-model_v4,TM4SF1,P30408,Membrane,u,receptor
AF-P30411-F1-model_v4,BDKRB2,P30411,Cell membrane,c,receptor
AF-P30414-F1-model_v4,NKTR,P30414,Cell membrane,u,receptor
AF-P30419-F1-model_v4,NMT1,P30419,"Cytoplasm;Cytoplasm, cytosol;Membrane",u,receptor
AF-P30511-F1-model_v4,HLA-F,P30511,Cell membrane;Early endosome membrane;Lysosome membrane,c,receptor
AF-P30518-F1-model_v4,AVPR2,P30518,Cell membrane,c,receptor
AF-P30530-F1-model_v4,AXL,P30530,Cell membrane,c,receptor
AF-P30531-F1-model_v4,SLC6A1,P30531,Cell membrane;Presynapse,u,receptor
AF-P30532-F1-model_v4,CHRNA5,P30532,Postsynaptic cell membrane;Cell membrane,u,receptor
AF-P30533-F1-model_v4,LRPAP1,P30533,"Rough endoplasmic reticulum lumen;Endoplasmic reticulum-Golgi intermediate compartment lumen;Golgi apparatus, cis-Golgi network;Golgi apparatus lumen;Endosome lumen;Cell surface",c,ligand
AF-P30542-F1-model_v4,ADORA1,P30542,Cell membrane,c,receptor
AF-P30550-F1-model_v4,GRPR,P30550,Cell membrane,c,receptor
AF-P30556-F1-model_v4,AGTR1,P30556,Cell membrane,c,receptor
AF-P30559-F1-model_v4,OXTR,P30559,Cell membrane,c,receptor
AF-P30622-F1-model_v4,CLIP1,P30622,"Cytoplasm;Cytoplasm, cytoskeleton;Cytoplasmic vesicle membrane;Cell projection, ruffle",u,receptor
AF-P30740-F1-model_v4,SERPINB1,P30740,Secreted;Cytoplasm;Cytolytic granule;Early endosome,u,ligand
AF-P30825-F1-model_v4,SLC7A1,P30825,Cell membrane,u,receptor
AF-P30872-F1-model_v4,SSTR1,P30872,Cell membrane,c,receptor
AF-P30874-F1-model_v4,SSTR2,P30874,Cell membrane;Cytoplasm,c,receptor
AF-P30926-F1-model_v4,CHRNB4,P30926,Postsynaptic cell membrane;Cell membrane,u,receptor
AF-P30939-F1-model_v4,HTR1F,P30939,Cell membrane,c,receptor
AF-P30953-F1-model_v4,OR1E1,P30953,Cell membrane,u,receptor
AF-P30954-F1-model_v4,OR10J1,P30954,Cell membrane,u,receptor
AF-P30968-F1-model_v4,GNRHR,P30968,Cell membrane,c,receptor
AF-P30988-F1-model_v4,CALCR,P30988,Cell membrane,c,receptor
AF-P30989-F1-model_v4,NTSR1,P30989,Cell membrane;Membrane raft,c,receptor
AF-P30990-F1-model_v4,NTS,P30990,"Secreted;Cytoplasmic vesicle, secretory vesicle",c,ligand
AF-P31025-F1-model_v4,LCN1,P31025,Secreted,c,ligand
AF-P31151-F1-model_v4,S100A7,P31151,Cytoplasm;Secreted,u,ligand
AF-P31321-F1-model_v4,PRKAR1B,P31321,Cell membrane,u,receptor
AF-P31323-F1-model_v4,PRKAR2B,P31323,Cytoplasm;Cell membrane,u,receptor
AF-P31358-F1-model_v4,CD52,P31358,Cell membrane,u,receptor
AF-P31371-F1-model_v4,FGF9,P31371,Secreted,c,ligand
AF-P31391-F1-model_v4,SSTR4,P31391,Cell membrane,c,receptor
AF-P31431-F1-model_v4,SDC4,P31431,Membrane;Secreted;Secreted,c,receptor
AF-P31639-F1-model_v4,SLC5A2,P31639,Apical cell membrane,u,receptor
AF-P31641-F1-model_v4,SLC6A6,P31641,Cell membrane,u,receptor
AF-P31644-F1-model_v4,GABRA5,P31644,Postsynaptic cell membrane;Cell membrane,u,receptor
AF-P31645-F1-model_v4,SLC6A4,P31645,"Cell membrane;Endomembrane system;Endosome membrane;Synapse;Cell junction, focal adhesion",u,receptor
AF-P31689-F1-model_v4,DNAJA1,P31689,"Membrane;Cytoplasm;Microsome;Nucleus;Cytoplasm, perinuclear region;Mitochondrion",u,receptor
AF-P31749-F1-model_v4,AKT1,P31749,Cytoplasm;Nucleus;Cell membrane,u,receptor
AF-P31751-F1-model_v4,AKT2,P31751,Cytoplasm;Nucleus;Cell membrane;Early endosome,u,receptor
AF-P31785-F1-model_v4,IL2RG,P31785,Cell membrane;Cell surface,c,receptor
AF-P31947-F1-model_v4,SFN,P31947,Cytoplasm;Nucleus;Secreted,u,ligand
AF-P31994-F1-model_v4,FCGR2B,P31994,Cell membrane,u,receptor
AF-P31995-F1-model_v4,FCGR2C,P31995,Cytoplasm;Cell membrane;Cell membrane;Cell membrane,u,receptor
AF-P31997-F1-model_v4,CEACAM8,P31997,Cell membrane;Cell surface,u,receptor
